Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Easy Parham,F-G,29,PHW,7, , ,0.3,0.9,.333, , , ,0.3,0.9,.333,.333,0.3,0.9,.333, , ,1.3,0.3, , , ,0.3,0.9
Warren Perkins,G-F,28,TRI,66, , ,2.0,6.5,.315, , , ,2.0,6.5,.315,.315,1.9,3.0,.646, , ,4.8,2.2, , , ,3.5,6.0
Ed Peterson,C,26,TOT,53, , ,2.5,7.2,.339, , , ,2.5,7.2,.339,.339,1.9,2.8,.660, , ,5.4,1.2, , , ,3.5,6.8
Ed Peterson,C,26,SYR,17, , ,1.8,4.8,.370, , , ,1.8,4.8,.370,.370,1.2,1.9,.606, , ,2.2,0.5, , , ,2.6,4.7
Ed Peterson,C,26,TRI,36, , ,2.8,8.4,.330, , , ,2.8,8.4,.330,.330,2.2,3.3,.675, , ,6.9,1.6, , , ,4.0,7.8
Andy Phillip*,G-F,28,PHW,66, , ,4.2,10.5,.399, , , ,4.2,10.5,.399,.399,2.9,3.8,.751, , ,6.8,6.3, , , ,3.3,11.2
Jim Pollard*,SF,28,MNL,54, , ,4.7,13.5,.352, , , ,4.7,13.5,.352,.352,2.2,2.9,.750, , ,9.0,3.4, , , ,2.9,11.6
George Ratkovicz,PF,28,SYR,66, , ,4.0,9.6,.415, , , ,4.0,9.6,.415,.415,4.9,6.7,.731, , ,8.3,2.9, , , ,3.9,12.9
Don Rehfeldt,SF,24,BLB,59, , ,2.8,7.2,.385, , , ,2.8,7.2,.385,.385,1.7,2.4,.741, , ,4.3,1.2, , , ,2.5,7.3
Jim Riffey,F,27,FTW,35, , ,1.9,5.3,.351, , , ,1.9,5.3,.351,.351,0.6,0.7,.769, , ,1.7,0.5, , , ,1.5,4.3
Arnie Risen*,C,26,ROC,66, , ,5.7,14.2,.401, , , ,5.7,14.2,.401,.401,4.9,6.7,.734, , ,12.0,2.4, , , ,4.2,16.3
Tex Ritter,G-F,26,NYK,34, , ,1.1,3.0,.379, , , ,1.1,3.0,.379,.379,1.4,2.1,.690, , ,1.9,1.1, , , ,1.5,3.7
Red Rocha,C,27,BLB,64, , ,4.6,13.2,.352, , , ,4.6,13.2,.352,.352,3.8,4.7,.809, , ,8.0,2.3, , , ,3.8,13.1
Kenny Sailors,G,30,TOT,60, , ,3.0,8.9,.340, , , ,3.0,8.9,.340,.340,2.2,3.0,.728, , ,2.0,2.5, , , ,3.3,8.2
